sampType;landCtry;vslFlgCtry;year;proj;trpCode;staNum;quarter;month;spp;sex;catchCat;landCat;commCatScl;commCat;stock;area;rect;subRect;lenCls;age;fishId;lenCode;ageMeth;plusGrp;otoWt;otoSide;indWt;matMeth;matScale;matStage
S;COUNTRY1;COUNTRY1;1900;STREAM project;1_ITA;1;NA;NA;Mullus barbatus;F;Lan;NA;ITA;1;NA;GSA99;NA;NA;90;0.5;1;scm;OWR;NA;NA;NA;-1;Macr;1;Medits scale
S;COUNTRY1;COUNTRY1;1900;STREAM project;1_ITA;1;NA;NA;Mullus barbatus;F;Lan;NA;ITA;1;NA;GSA99;NA;NA;90;0.5;2;scm;OWR;NA;NA;NA;-1;Macr;1;Medits scale
S;COUNTRY1;COUNTRY1;1900;STREAM project;1_ITA;1;NA;NA;Mullus barbatus;F;Lan;NA;ITA;1;NA;GSA99;NA;NA;95;0.5;3;scm;OWR;NA;NA;NA;-1;Macr;1;Medits scale
S;COUNTRY1;COUNTRY1;1900;STREAM project;1_ITA;1;NA;NA;Mullus barbatus;F;Lan;NA;ITA;1;NA;GSA99;NA;NA;95;0.5;4;scm;OWR;NA;NA;NA;-1;Macr;1;Medits scale
S;COUNTRY1;COUNTRY1;1900;STREAM project;1_ITA;1;NA;NA;Mullus barbatus;F;Lan;NA;ITA;1;NA;GSA99;NA;NA;90;-1;5;scm;OWR;NA;NA;NA;-1;Macr;1;Medits scale
S;COUNTRY1;COUNTRY1;1900;STREAM project;1_ITA;1;NA;NA;Mullus barbatus;F;Lan;NA;ITA;1;NA;GSA99;NA;NA;95;-1;6;scm;OWR;NA;NA;NA;-1;Macr;1;Medits scale
S;COUNTRY1;COUNTRY1;1900;STREAM project;1_ITA;1;NA;NA;Mullus barbatus;F;Lan;NA;ITA;1;NA;GSA99;NA;NA;95;-1;7;scm;OWR;NA;NA;NA;-1;Macr;1;Medits scale
S;COUNTRY1;COUNTRY1;1900;STREAM project;1_ITA;1;NA;NA;Mullus barbatus;F;Lan;NA;ITA;1;NA;GSA99;NA;NA;95;-1;8;scm;OWR;NA;NA;NA;-1;Macr;1;Medits scale
S;COUNTRY1;COUNTRY1;1900;STREAM project;1_ITA;1;NA;NA;Mullus barbatus;F;Lan;NA;ITA;1;NA;GSA99;NA;NA;95;-1;9;scm;OWR;NA;NA;NA;-1;Macr;1;Medits scale
S;COUNTRY1;COUNTRY1;1900;STREAM project;1_ITA;1;NA;NA;Mullus barbatus;F;Lan;NA;ITA;1;NA;GSA99;NA;NA;95;-1;10;scm;OWR;NA;NA;NA;-1;Macr;1;Medits scale
S;COUNTRY1;COUNTRY1;1900;STREAM project;1_ITA;1;NA;NA;Mullus barbatus;F;Lan;NA;ITA;1;NA;GSA99;NA;NA;210;4.5;11;scm;OWR;NA;NA;NA;-1;Macr;3;Medits scale
S;COUNTRY1;COUNTRY1;1900;STREAM project;1_ITA;1;NA;NA;Mullus barbatus;F;Lan;NA;ITA;1;NA;GSA99;NA;NA;215;4.5;12;scm;OWR;NA;NA;NA;-1;Macr;3;Medits scale
S;COUNTRY1;COUNTRY1;1900;STREAM project;1_ITA;1;NA;NA;Mullus barbatus;F;Lan;NA;ITA;1;NA;GSA99;NA;NA;220;4.5;13;scm;OWR;NA;NA;NA;-1;Macr;3;Medits scale
